emp_no,first_name,last_name,birth_date,title,dept_no,dept_name
272599,Holgard,Hegner,1965-01-16,Senior Staff,d001,Marketing
58147,Shigenori,Sullins,1965-01-09,Senior Staff,d001,Marketing
61147,Leszek,Werthner,1965-01-30,Staff,d001,Marketing
273806,Hongzhu,Beetstra,1965-01-01,Senior Staff,d001,Marketing
60959,Tetsushi,Sridhar,1965-01-09,Staff,d001,Marketing
60238,Erzsebet,Claffy,1965-01-23,Staff,d001,Marketing
58497,Yechiam,Cairo,1965-01-22,Senior Staff,d001,Marketing
466603,Yechezkel,Nourani,1965-01-23,Staff,d001,Marketing
59869,Zsolt,Riefers,1965-02-01,Senior Staff,d001,Marketing
408447,Mayuri,Werthner,1965-01-13,Staff,d001,Marketing
50670,Boguslaw,Snedden,1965-01-30,Staff,d001,Marketing
215843,Pramod,Loncour,1965-01-30,Staff,d001,Marketing
235729,Henk,Anger,1965-02-01,Senior Staff,d001,Marketing
425535,Alagu,Vieri,1965-01-18,Staff,d001,Marketing
236591,Insup,Reinhard,1965-01-11,Staff,d001,Marketing
210752,Saniya,Stenning,1965-01-25,Staff,d001,Marketing
209565,Dante,Covnot,1965-01-09,Staff,d001,Marketing
20100,Utz,Heuter,1965-01-18,Staff,d001,Marketing
404755,Manu,Junet,1965-01-13,Senior Staff,d001,Marketing
49010,Kazuhisa,Benantar,1965-01-16,Senior Staff,d001,Marketing
403621,Deborah,Kaminger,1965-01-07,Staff,d001,Marketing
51057,Theirry,Albarhamtoshy,1965-01-29,Staff,d001,Marketing
207068,Zhiguo,Ariola,1965-01-13,Senior Staff,d001,Marketing
428160,Jamaludin,Kalorkoti,1965-01-12,Senior Staff,d001,Marketing
205660,Kien,Barreiro,1965-01-27,Staff,d001,Marketing
494493,Masasuke,Koprowski,1965-01-10,Staff,d001,Marketing
205174,Leszek,Spinelli,1965-01-05,Staff,d001,Marketing
478799,Shaw,Borovoy,1965-01-18,Senior Staff,d001,Marketing
241292,Uri,Lampe,1965-01-29,Senior Staff,d001,Marketing
429899,Ranan,Marsiglia,1965-01-30,Staff,d001,Marketing
416877,Gio,Orsini,1965-01-02,Senior Staff,d001,Marketing
432034,Arfst,Uehara,1965-01-24,Senior Staff,d001,Marketing
479695,Masamitsu,Murrill,1965-01-06,Senior Staff,d001,Marketing
242104,Richara,Sudkamp,1965-01-05,Senior Staff,d001,Marketing
499194,Padma,Delgrange,1965-01-29,Senior Staff,d001,Marketing
243018,Bowen,Deverell,1965-01-02,Senior Staff,d001,Marketing
15058,Bouchung,Bugrara,1965-01-30,Staff,d002,Finance
266644,Anwar,Gubsky,1965-01-08,Senior Staff,d002,Finance
227681,Mikhail,Rousseau,1965-01-30,Staff,d002,Finance
36521,Serif,Gladwell,1965-01-21,Senior Staff,d002,Finance
448994,Haldun,Syang,1965-01-12,Staff,d002,Finance
251166,Hinrich,Hooghiemstra,1965-01-22,Staff,d002,Finance
201709,Fan,Kakkad,1965-01-01,Senior Staff,d002,Finance
95920,Nobuyoshi,Hegner,1965-01-19,Staff,d002,Finance
294446,Claudi,Ruemmler,1965-01-27,Staff,d002,Finance
420877,Khosrow,Erez,1965-01-29,Staff,d002,Finance
488540,Breannda,Maquelin,1965-01-22,Senior Staff,d002,Finance
443108,Christfried,Atrawala,1965-01-14,Senior Staff,d002,Finance
463099,Jinxi,Schmiedel,1965-01-15,Staff,d002,Finance
294241,Marl,Fiebach,1965-01-12,Staff,d002,Finance
244605,Masoud,Suwa,1965-01-22,Staff,d002,Finance
27378,Piyawadee,Leppanen,1965-01-28,Senior Staff,d002,Finance
488984,Kendra,Junet,1965-01-18,Staff,d002,Finance
50453,Aron,Harbusch,1965-01-12,Staff,d002,Finance
298953,Zita,Syang,1965-02-01,Staff,d002,Finance
54632,Etsuo,Serot,1965-01-19,Senior Staff,d002,Finance
262208,Mrinalini,Holburn,1965-01-16,Senior Staff,d002,Finance
489755,Matk,Chorvat,1965-01-14,Staff,d002,Finance
58141,Bezalel,Karner,1965-01-05,Staff,d002,Finance
109598,Stamatina,Auyong,1965-02-01,Senior Staff,d002,Finance
298577,Florina,Litecky,1965-01-11,Senior Staff,d002,Finance
217800,Shay,Servieres,1965-02-01,Senior Staff,d002,Finance
423214,Tsutomu,Tetzlaff,1965-01-31,Senior Staff,d002,Finance
424685,Changho,Veevers,1965-01-10,Senior Staff,d002,Finance
94416,Aran,Cesareni,1965-01-01,Senior Staff,d002,Finance
109278,Bangqing,Schach,1965-01-21,Senior Staff,d002,Finance
489756,Kersti,Miculan,1965-01-01,Staff,d002,Finance
93549,Arie,Coullard,1965-02-01,Senior Staff,d002,Finance
56415,Sigeru,Nivat,1965-01-30,Staff,d002,Finance
265039,Navid,Staudhammer,1965-01-03,Staff,d002,Finance
59640,Zita,Hiltgen,1965-01-18,Staff,d002,Finance
259619,Conal,Magliocco,1965-01-21,Senior Staff,d002,Finance
408417,Tsz,Daescu,1965-01-19,Staff,d002,Finance
450475,Saeed,Bahl,1965-01-21,Senior Staff,d002,Finance
230579,Shahar,Negoita,1965-01-17,Staff,d002,Finance
215746,Sven,Speer,1965-01-08,Staff,d002,Finance
450936,Yuriy,Ponthieu,1965-01-18,Senior Staff,d002,Finance
43154,Maha,Waterhouse,1965-01-13,Senior Staff,d002,Finance
287713,Aamod,Ranka,1965-01-23,Senior Staff,d002,Finance
425540,Paddy,Zumaque,1965-01-03,Senior Staff,d002,Finance
426168,Kaijung,Mateescu,1965-01-10,Staff,d002,Finance
436797,Ohad,Henders,1965-01-24,Staff,d002,Finance
471552,Basem,Lortz,1965-01-22,Staff,d002,Finance
407522,Tommaso,Raczkowsky,1965-01-25,Staff,d002,Finance
48904,Yuichiro,Malabarba,1965-01-23,Staff,d002,Finance
85414,Chiradeep,Callaway,1965-01-14,Staff,d002,Finance
260399,Hatem,Birsak,1965-01-30,Staff,d002,Finance
85216,Ferdinand,Rosiles,1965-01-18,Senior Staff,d002,Finance
413666,Remco,Duclos,1965-01-05,Senior Staff,d002,Finance
474331,Sugwoo,Eugenio,1965-01-29,Senior Staff,d002,Finance
89161,Conal,Yetto,1965-01-07,Senior Staff,d002,Finance
12643,Morrie,Schurmann,1965-01-30,Staff,d002,Finance
31341,Oksana,Zultner,1965-01-01,Staff,d002,Finance
427776,Jaques,Navazio,1965-01-25,Staff,d002,Finance
437276,Dines,DeMori,1965-01-17,Senior Staff,d002,Finance
402827,Weidon,Pollacia,1965-01-28,Senior Staff,d002,Finance
427805,Haldun,Compeau,1965-01-21,Senior Staff,d002,Finance
205789,Limsoon,Skafidas,1965-01-31,Senior Staff,d002,Finance
482905,Aral,Hebden,1965-01-16,Senior Staff,d002,Finance
104845,Werner,Lodder,1965-01-29,Staff,d002,Finance
31147,Divine,Sidhu,1965-01-04,Senior Staff,d002,Finance
17013,Morris,Garigliano,1965-01-15,Senior Staff,d002,Finance
88958,Vojin,Coombs,1965-01-22,Staff,d002,Finance
428195,Hatsukazu,Rosca,1965-01-11,Senior Staff,d002,Finance
429316,Seshu,Hiraishi,1965-01-08,Senior Staff,d002,Finance
261662,Berni,Assaf,1965-01-11,Senior Staff,d002,Finance
204133,Susuma,Bergere,1965-01-22,Senior Staff,d002,Finance
257469,Anyuan,Hanratty,1965-01-22,Staff,d002,Finance
431576,Masamitsu,Back,1965-01-06,Staff,d002,Finance
439924,Gunilla,Kisuki,1965-01-30,Senior Staff,d002,Finance
447135,Gennady,Rouquie,1965-01-31,Senior Staff,d003,Human Resources
413832,Marco,Jahnichen,1965-01-24,Senior Staff,d003,Human Resources
229404,Gilbert,Kilgour,1965-01-11,Staff,d003,Human Resources
230354,Yinghua,Lorho,1965-01-31,Staff,d003,Human Resources
232178,Etsuo,Anandan,1965-01-29,Staff,d003,Human Resources
410028,Xiadong,McClurg,1965-01-11,Senior Staff,d003,Human Resources
49477,Baocai,Leaver,1965-01-14,Senior Staff,d003,Human Resources
404573,Eberhardt,Spelt,1965-01-31,Staff,d003,Human Resources
403644,Krisda,Hainaut,1965-01-19,Staff,d003,Human Resources
492000,Valeska,Cools,1965-01-10,Staff,d003,Human Resources
401154,Danae,Kragelund,1965-01-27,Senior Staff,d003,Human Resources
299346,Fumitake,Sichman,1965-01-09,Senior Staff,d003,Human Resources
245396,Gift,Bottner,1965-01-31,Staff,d003,Human Resources
246244,George,Casperson,1965-01-09,Staff,d003,Human Resources
14104,Sudhanshu,Demian,1965-01-03,Senior Staff,d003,Human Resources
246902,Shih,Shanbhogue,1965-01-27,Staff,d003,Human Resources
247122,Xiaobin,Narlikar,1965-01-23,Senior Staff,d003,Human Resources
295857,Kankanahalli,Ciolek,1965-01-17,Staff,d003,Human Resources
295268,Eben,Calkin,1965-01-28,Staff,d003,Human Resources
295254,Xuejun,Pfau,1965-01-15,Staff,d003,Human Resources
251341,Divier,Kumaresan,1965-01-11,Staff,d003,Human Resources
293080,Hideyuki,Slaats,1965-01-12,Senior Staff,d003,Human Resources
290075,Boalin,Byoun,1965-01-15,Staff,d003,Human Resources
256856,Hongzue,Barbanera,1965-01-03,Staff,d003,Human Resources
257484,Shaowei,Nicolson,1965-01-01,Senior Staff,d003,Human Resources
290009,Zijian,Rindone,1965-01-22,Senior Staff,d003,Human Resources
288166,Masoud,Asmuth,1965-01-11,Staff,d003,Human Resources
467176,Przemyslawa,Borovoy,1965-01-05,Senior Staff,d003,Human Resources
287327,Youjian,Felder,1965-01-13,Staff,d003,Human Resources
263012,Hideo,Buchter,1965-01-09,Staff,d003,Human Resources
466745,Boalin,Birsak,1965-01-26,Staff,d003,Human Resources
286370,Toshimitsu,Seuren,1965-01-06,Staff,d003,Human Resources
280070,Niteen,Ebeling,1965-01-24,Staff,d003,Human Resources
278452,Sudhanshu,Toyoshima,1965-01-07,Staff,d003,Human Resources
276189,Isaac,Klerer,1965-01-10,Staff,d003,Human Resources
276186,Sajjad,Vecchi,1965-01-30,Staff,d003,Human Resources
274071,Mingsen,Weiland,1965-01-01,Staff,d003,Human Resources
60821,Moty,Mersereau,1965-01-02,Staff,d003,Human Resources
465853,Kwan,Kampfer,1965-01-01,Staff,d003,Human Resources
465501,Mrinalini,Gire,1965-01-05,Senior Staff,d003,Human Resources
63441,Hinrich,Scallan,1965-01-15,Staff,d003,Human Resources
463495,Alenka,Barriga,1965-01-28,Senior Staff,d003,Human Resources
67548,Fumitaka,Roohalamini,1965-01-11,Staff,d003,Human Resources
460691,Munehiko,Gihr,1965-01-16,Senior Staff,d003,Human Resources
458134,Thanasis,Standera,1965-01-11,Staff,d003,Human Resources
71141,Sajjad,Vitiello,1965-01-02,Staff,d003,Human Resources
457070,Gay,Plavsic,1965-01-25,Senior Staff,d003,Human Resources
487988,Ekawit,Schaft,1965-01-05,Staff,d003,Human Resources
78469,Leucio,Cappelli,1965-01-28,Staff,d003,Human Resources
82351,Stevo,Thambidurai,1965-01-26,Senior Staff,d003,Human Resources
453070,Aran,Rosenbaum,1965-01-06,Senior Staff,d003,Human Resources
486068,Yefim,Bernardeschi,1965-01-11,Staff,d003,Human Resources
451333,Radhika,Bonifati,1965-01-15,Senior Staff,d003,Human Resources
34261,Kyoichi,Callaway,1965-01-05,Senior Staff,d003,Human Resources
89090,Tetsushi,Theuretzbacher,1965-01-26,Senior Staff,d003,Human Resources
89207,Along,Erol,1965-01-15,Staff,d003,Human Resources
484142,Perry,Cooman,1965-01-05,Staff,d003,Human Resources
484126,Manton,Lueh,1965-01-05,Senior Staff,d003,Human Resources
97623,Haldon,Janetzko,1965-01-25,Senior Staff,d003,Human Resources
440450,Tzvetan,Scharstein,1965-01-16,Senior Staff,d003,Human Resources
103196,Djenana,Albarhamtoshy,1965-01-16,Staff,d003,Human Resources
437724,Erez,Luft,1965-01-17,Staff,d003,Human Resources
436827,Wojceich,Limongiello,1965-01-30,Senior Staff,d003,Human Resources
106242,Nevio,Thisen,1965-02-01,Staff,d003,Human Resources
18617,Surveyors,Crouzet,1965-01-21,Senior Staff,d003,Human Resources
435588,Genta,Pepe,1965-01-29,Staff,d003,Human Resources
481050,Weiru,Burnard,1965-01-16,Staff,d003,Human Resources
201229,Alejandra,Khasidashvili,1965-01-03,Staff,d003,Human Resources
201708,Anneli,Perl,1965-01-15,Staff,d003,Human Resources
39036,Changho,Cappelli,1965-01-08,Staff,d003,Human Resources
202950,Giordano,Pietrzykowski,1965-01-17,Senior Staff,d003,Human Resources
203946,Yefim,Marwedel,1965-01-23,Senior Staff,d003,Human Resources
429703,Ung,Honglei,1965-01-06,Senior Staff,d003,Human Resources
428082,Ronghao,Alpin,1965-01-09,Senior Staff,d003,Human Resources
207980,Remko,Vieth,1965-01-07,Staff,d003,Human Resources
209443,Krassimir,Garnier,1965-01-19,Senior Staff,d003,Human Resources
210017,Shalesh,Lovengreen,1965-01-28,Senior Staff,d003,Human Resources
210292,Lihong,Zeilberger,1965-01-18,Staff,d003,Human Resources
210786,Werner,Ranze,1965-01-31,Staff,d003,Human Resources
42778,Shuji,Remmers,1965-01-19,Staff,d003,Human Resources
212093,Leni,Henders,1965-01-11,Staff,d003,Human Resources
426235,Danco,Rajala,1965-01-31,Staff,d003,Human Resources
43733,Huei,Boguraev,1965-01-26,Staff,d003,Human Resources
215419,Flemming,Kroha,1965-01-16,Staff,d003,Human Resources
424930,Xuejun,Reeker,1965-01-19,Staff,d003,Human Resources
421384,Renny,Bednarek,1965-01-02,Staff,d003,Human Resources
218100,Jiong,Garnham,1965-01-24,Senior Staff,d003,Human Resources
475538,Christophe,Leaver,1965-01-15,Staff,d003,Human Resources
219967,Susanna,Reeken,1965-01-16,Senior Staff,d003,Human Resources
222206,Stein,Uludag,1965-01-21,Staff,d003,Human Resources
224934,George,Miake,1965-01-05,Senior Staff,d003,Human Resources
48690,Hitomi,Schaap,1965-01-12,Staff,d003,Human Resources
265875,Fan,Marsiglia,1965-01-20,Senior Engineer,d004,Production
70990,Arumugam,Nitta,1965-01-22,Senior Engineer,d004,Production
232697,Barry,Ramsak,1965-01-23,Senior Engineer,d004,Production
414027,Tadanori,Msuda,1965-01-31,Engineer,d004,Production
458111,Florian,Tramer,1965-01-23,Engineer,d004,Production
71243,Kinh,Buchter,1965-01-10,Engineer,d004,Production
28988,Tua,Giveon,1965-01-18,Technique Leader,d004,Production
71685,Kristinn,Olano,1965-01-01,Senior Engineer,d004,Production
280648,Heeju,Lorys,1965-01-04,Engineer,d004,Production
281859,Masanao,Papastamatiou,1965-01-17,Senior Engineer,d004,Production
29380,Satoru,Vidal,1965-01-30,Assistant Engineer,d004,Production
72194,Feiyu,Siepmann,1965-01-26,Senior Engineer,d004,Production
265521,Kensei,Salverda,1965-01-04,Engineer,d004,Production
457813,Foong,Gargeya,1965-01-28,Senior Engineer,d004,Production
457776,Florian,Siepmann,1965-01-15,Senior Engineer,d004,Production
29418,Valery,Mersereau,1965-01-22,Assistant Engineer,d004,Production
73233,Shigeo,Merey,1965-01-15,Senior Engineer,d004,Production
73516,Qingxiang,Badache,1965-01-14,Engineer,d004,Production
73743,Anneke,Bernardeschi,1965-01-15,Engineer,d004,Production
74200,Holgard,Weiland,1965-01-16,Senior Engineer,d004,Production
10663,Teunis,Noriega,1965-01-09,Technique Leader,d004,Production
457489,Berna,Ranst,1965-01-24,Senior Engineer,d004,Production
74800,Yuuichi,Conde,1965-01-25,Senior Engineer,d004,Production
29782,Jouko,Hellwagner,1965-01-29,Senior Engineer,d004,Production
29954,Pranay,Giarratana,1965-01-27,Senior Engineer,d004,Production
76189,Kolar,Hinsberger,1965-01-02,Senior Engineer,d004,Production
30007,Kousuke,Vecchio,1965-01-24,Senior Engineer,d004,Production
415338,Shigeo,Emmart,1965-01-22,Assistant Engineer,d004,Production
475258,Fumiyo,Feinberg,1965-01-10,Staff,d004,Production
455814,Giao,DuCasse,1965-01-28,Senior Engineer,d004,Production
77647,Niranjan,Schaaf,1965-01-07,Technique Leader,d004,Production
497007,Oldrich,Adachi,1965-01-23,Senior Engineer,d004,Production
264939,Bogdan,Bahi,1965-01-10,Senior Engineer,d004,Production
497835,Shuho,Laurillard,1965-01-29,Technique Leader,d004,Production
46811,Junsik,Berendt,1965-01-10,Senior Engineer,d004,Production
16528,Gaurav,Swick,1965-01-21,Engineer,d004,Production
79043,Katsuo,Hockney,1965-01-24,Technique Leader,d004,Production
79171,Guiseppe,Ellozy,1965-01-19,Senior Engineer,d004,Production
264030,Zdislav,Solares,1965-01-15,Assistant Engineer,d004,Production
286573,Nahum,Nishimukai,1965-01-27,Engineer,d004,Production
286779,Sigeru,Versino,1965-01-24,Engineer,d004,Production
454994,Mohan,Picht,1965-01-01,Engineer,d004,Production
454825,Kamakshi,Schusler,1965-01-02,Senior Engineer,d004,Production
454791,Xiaoqiu,Pietracaprina,1965-01-22,Senior Engineer,d004,Production
454378,Gina,Ossenbruggen,1965-01-06,Technique Leader,d004,Production
56209,Remzi,Douceur,1965-01-19,Engineer,d004,Production
80850,Koldo,Luit,1965-02-01,Senior Engineer,d004,Production
486956,Matt,Ruemmler,1965-01-01,Engineer,d004,Production
17206,Berry,DeMori,1965-01-02,Senior Engineer,d004,Production
262928,Piyush,Gill,1965-01-01,Senior Engineer,d004,Production
14127,Magdalena,Cannard,1965-01-10,Senior Engineer,d004,Production
453723,Arne,Kohling,1965-01-15,Senior Engineer,d004,Production
31188,Leandro,Gist,1965-01-12,Technique Leader,d004,Production
82069,Yechezkel,Perfilyeva,1965-01-20,Senior Engineer,d004,Production
82098,Poornachandra,Wilharm,1965-01-25,Senior Engineer,d004,Production
418606,Michaela,Otillio,1965-01-11,Engineer,d004,Production
31207,Abdelwaheb,Dulin,1965-01-30,Senior Engineer,d004,Production
262636,Tamiya,Reutenauer,1965-01-04,Senior Engineer,d004,Production
17369,Yaghout,Kenevan,1965-01-31,Senior Engineer,d004,Production
83280,Francesca,Ellozy,1965-01-07,Senior Engineer,d004,Production
287334,Elliott,Speer,1965-01-05,Engineer,d004,Production
31909,Murthy,Peek,1965-01-10,Engineer,d004,Production
55799,Jianwen,Litzler,1965-01-23,Senior Engineer,d004,Production
83714,Ohad,Kilgore,1965-01-27,Engineer,d004,Production
261737,Mark,Lindqvist,1965-01-23,Engineer,d004,Production
418566,Kazuhide,Snedden,1965-01-27,Senior Engineer,d004,Production
23396,Hilari,Fairtlough,1965-01-02,Technique Leader,d004,Production
84179,Shuichi,Nanard,1965-01-25,Senior Engineer,d004,Production
452956,Gou,Thombley,1965-01-17,Senior Engineer,d004,Production
261184,Masako,Kornatzky,1965-01-30,Senior Engineer,d004,Production
410804,Ronnie,Denos,1965-01-17,Engineer,d004,Production
55640,Adit,Syrotiuk,1965-01-25,Senior Engineer,d004,Production
452137,Subir,Miake,1965-01-15,Senior Engineer,d004,Production
498955,Nechama,Kandlur,1965-01-13,Engineer,d004,Production
418380,Kazuhiko,Gornas,1965-01-02,Senior Engineer,d004,Production
287583,Jovan,Hockney,1965-01-18,Senior Engineer,d004,Production
85288,Younwoo,Luders,1965-01-06,Senior Engineer,d004,Production
260361,Reinhold,Rahier,1965-01-25,Engineer,d004,Production
467392,Mariusz,Rikino,1965-01-07,Engineer,d004,Production
450934,Chanjung,Raoux,1965-01-23,Senior Engineer,d004,Production
54795,Sumant,Nergos,1965-01-29,Senior Staff,d004,Production
259273,Xiahua,Gomatam,1965-01-22,Senior Engineer,d004,Production
485817,Mahmut,Bolotov,1965-01-29,Engineer,d004,Production
288563,Cristinel,Gerlach,1965-01-02,Senior Engineer,d004,Production
86546,Oldrich,Woycyznski,1965-01-09,Engineer,d004,Production
86655,Zhenhua,Lorys,1965-01-01,Engineer,d004,Production
22926,Manibrata,Genther,1965-01-01,Senior Engineer,d004,Production
448918,Chiradeep,Arlazarov,1965-01-23,Senior Engineer,d004,Production
33215,Steen,Fasbender,1965-01-29,Technique Leader,d004,Production
87714,Khun,Janetzko,1965-01-16,Assistant Engineer,d004,Production
448769,Mong,Dichev,1965-01-18,Technique Leader,d004,Production
17970,Filipp,Carrere,1965-01-06,Technique Leader,d004,Production
447982,Shiv,Baezner,1965-01-25,Senior Engineer,d004,Production
484498,Herbert,Hammerschmidt,1965-01-26,Engineer,d004,Production
88422,Jungsoon,Birsak,1965-01-28,Technique Leader,d004,Production
220625,Shigenori,Deville,1965-01-25,Technique Leader,d004,Production
53924,Arnould,Gaughan,1965-01-27,Senior Engineer,d004,Production
17988,Mabhin,Calkin,1965-01-31,Senior Engineer,d004,Production
34452,Naftaly,Foong,1965-01-08,Senior Engineer,d004,Production
418309,Danel,Petereit,1965-01-24,Engineer,d004,Production
256216,Halsur,Brodal,1965-01-01,Engineer,d004,Production
475087,Genevieve,Snedden,1965-01-31,Senior Engineer,d004,Production
20885,Otmar,Rothenberg,1965-01-21,Senior Engineer,d004,Production
447966,Kamakshi,Hebert,1965-01-05,Engineer,d004,Production
255779,Heejo,Merle,1965-01-31,Technique Leader,d004,Production
89680,Aiman,Mawatari,1965-01-27,Senior Engineer,d004,Production
89806,Xiadong,Shinomoto,1965-01-27,Senior Engineer,d004,Production
89922,Alexius,Ibel,1965-01-26,Senior Engineer,d004,Production
255466,Huan,Roccetti,1965-01-18,Senior Engineer,d004,Production
34533,Erzsebet,Shigei,1965-01-10,Senior Engineer,d004,Production
90084,Renny,Bale,1965-01-01,Senior Engineer,d004,Production
90211,Bader,Denis,1965-01-15,Engineer,d004,Production
90292,Koichi,Assaf,1965-01-09,Senior Engineer,d004,Production
228766,Nahla,Smailagic,1965-01-11,Engineer,d004,Production
90614,Yonghoan,Trogemann,1965-01-29,Engineer,d004,Production
254399,Armond,Lores,1965-01-24,Technique Leader,d004,Production
